,full_name,med_HHI,county,id
0,"Alameda County, California",92574,Alameda,0
1,"Alpine County, California",64688,Alpine,1
2,"Amador County, California",61198,Amador,2
3,"Butte County, California",48443,Butte,3
4,"Calaveras County, California",58151,Calaveras,4
5,"Colusa County, California",56704,Colusa,5
6,"Contra Costa County, California",93712,Contra Costa,6
7,"Del Norte County, California",45258,Del Norte,7
8,"El Dorado County, California",80582,El Dorado,8
9,"Fresno County, California",51261,Fresno,9
10,"Glenn County, California",47395,Glenn,10
11,"Humboldt County, California",45528,Humboldt,11
12,"Imperial County, California",45834,Imperial,12
13,"Inyo County, California",52874,Inyo,13
14,"Kern County, California",52479,Kern,14
15,"Kings County, California",53865,Kings,15
16,"Lake County, California",42475,Lake,16
17,"Lassen County, California",56362,Lassen,17
18,"Los Angeles County, California",64251,Los Angeles,18
19,"Madera County, California",52884,Madera,19
20,"Marin County, California",110217,Marin,20
21,"Mariposa County, California",51199,Mariposa,21
22,"Mendocino County, California",49233,Mendocino,22
23,"Merced County, California",50129,Merced,23
24,"Modoc County, California",45149,Modoc,24
25,"Mono County, California",63018,Mono,25
26,"Monterey County, California",66676,Monterey,26
27,"Napa County, California",84753,Napa,27
28,"Nevada County, California",63240,Nevada,28
29,"Orange County, California",85398,Orange,29
30,"Placer County, California",84357,Placer,30
31,"Plumas County, California",53270,Plumas,31
32,"Riverside County, California",63948,Riverside,32
33,"Sacramento County, California",63902,Sacramento,33
34,"San Benito County, California",81977,San Benito,34
35,"San Bernardino County, California",60164,San Bernardino,35
36,"San Diego County, California",74855,San Diego,36
37,"San Francisco County, California",104552,San Francisco,37
38,"San Joaquin County, California",61145,San Joaquin,38
39,"San Luis Obispo County, California",70699,San Luis Obispo,39
40,"San Mateo County, California",113776,San Mateo,40
41,"Santa Barbara County, California",71657,Santa Barbara,41
42,"Santa Clara County, California",116178,Santa Clara,42
43,"Santa Cruz County, California",78041,Santa Cruz,43
44,"Shasta County, California",50905,Shasta,44
45,"Sierra County, California",48125,Sierra,45
46,"Siskiyou County, California",44200,Siskiyou,46
47,"Solano County, California",77609,Solano,47
48,"Sonoma County, California",76753,Sonoma,48
49,"Stanislaus County, California",57387,Stanislaus,49
50,"Sutter County, California",56955,Sutter,50
51,"Tehama County, California",42899,Tehama,51
52,"Trinity County, California",38497,Trinity,52
53,"Tulare County, California",47518,Tulare,53
54,"Tuolumne County, California",56493,Tuolumne,54
55,"Ventura County, California",84017,Ventura,55
56,"Yolo County, California",65923,Yolo,56
57,"Yuba County, California",52624,Yuba,57
